,tinh,project,link,kind,location,price,town,isCoastal
0,tai-ba-ria-vung-tau,Khu đô thị Phước Thắng: Dự án biệt thự và nhà phố tại Vũng Tàu,https://cafeland.vn/du-an/khu-do-thi-phuoc-thang-du-an-biet-thu-va-nha-pho-tai-vung-tau-4341.html,Khu Đô Thị,"Phường 12, TP Vũng Tàu, tỉnh Bà Rịa - Vũng Tàu, TP.Vũng Tàu, Bà Rịa - Vũng Tàu",Địa chỉ:,Vũng Tàu,1
2,tai-ba-ria-vung-tau,"Hodeco Seavillage: Dự án căn hộ, khách sạn tại Vũng Tàu",https://cafeland.vn/du-an/hodeco-seavillage-du-an-can-ho-khach-san-tai-vung-tau-4345.html,Căn hộ chung cư,"Đường 3 tháng 2, TP.Vũng Tàu, Bà Rịa - Vũng Tàu",Địa chỉ:,Vũng Tàu,1
3,tai-ba-ria-vung-tau,Phu My Estate: Dự án khu dân cư tại Bà Rịa – Vũng Tàu,https://cafeland.vn/du-an/phu-my-estate-du-an-khu-dan-cu-tai-ba-ria-vung-tau-4306.html,Khu Đô Thị,"đường Hắc Dịch, TX. Phú Mỹ, Bà Rịa - Vũng Tàu",Địa chỉ:,Phú Mỹ,1
4,tai-ba-ria-vung-tau,Vega Alaric: Dự án tòa tháp căn hộ nghỉ dưỡng trong tổ hợp The Maris tại Vũng Tàu,https://cafeland.vn/du-an/vega-alaric-du-an-toa-thap-can-ho-nghi-duong-trong-to-hop-the-maris-tai-vung-tau-4290.html,Căn hộ chung cư,"Đường 3/2, phường 11, thành phố Vũng Tàu, tỉnh Bà Rịa – Vũng Tàu, TP.Vũng Tàu, Bà Rịa - Vũng Tàu",Địa chỉ:,Vũng Tàu,1
5,tai-ba-ria-vung-tau,Antares Beach: Dự án khu du lịch nghỉ dưỡng tại Vũng Tàu,https://cafeland.vn/du-an/antares-beach-du-an-khu-du-lich-nghi-duong-tai-vung-tau-4217.html,Bất Động Sản Nghỉ Dưỡng,"TP.Vũng Tàu, Bà Rịa - Vũng Tàu",Địa chỉ:,Vũng Tàu,1
6,tai-ba-ria-vung-tau,Cù lao Bến Đình: Dự án khu đô thị tại Vũng Tàu,https://cafeland.vn/du-an/cu-lao-ben-dinh-du-an-khu-do-thi-tai-vung-tau-4173.html,Khu Đô Thị,"phường 5, phường 9, TP.Vũng Tàu, Bà Rịa - Vũng Tàu",Địa chỉ:,Vũng Tàu,1
7,tai-ba-ria-vung-tau,Long Tân Retreat: Dự án biệt thự vườn tại Bà Rịa - Vũng Tàu,https://cafeland.vn/du-an/long-tan-retreat-du-an-biet-thu-vuon-tai-ba-ria-vung-tau-4127.html,Đất Nền Dự Án,"Đất Đỏ, Bà Rịa - Vũng Tàu","Giá thấp nhất: 2,10 tỷ",Đất Đỏ,1
8,tai-ba-ria-vung-tau,Fivestar Poseidon: Dự án căn hộ tại Vũng Tàu,https://cafeland.vn/du-an/fivestar-poseidon-du-an-can-ho-tai-vung-tau-4113.html,Căn hộ chung cư,"đường Thùy Vân, TP.Vũng Tàu, Bà Rịa - Vũng Tàu",Địa chỉ:,Vũng Tàu,1
9,tai-ba-ria-vung-tau,The Núi: Dự án căn hộ và biệt thự tại Vũng Tàu,https://cafeland.vn/du-an/the-nui-du-an-can-ho-va-biet-thu-tai-vung-tau-4112.html,Nhà Phố - Biệt Thự,"Đường Phan Chu Trinh, TP.Vũng Tàu, Bà Rịa - Vũng Tàu",Địa chỉ:,Vũng Tàu,1
10,tai-ba-ria-vung-tau,Vũng Tàu Centre Point: Dự án chung cư tại Vũng Tàu,https://cafeland.vn/du-an/vung-tau-centre-point-du-an-chung-cu-tai-vung-tau-4059.html,Căn hộ chung cư,"đường 2/9 và Nguyễn Hữu Cảnh, Khu đô thị Chí Linh, TP.Vũng Tàu, Bà Rịa - Vũng Tàu","Giá thấp nhất: 2,82 tỷ",Vũng Tàu,1
11,tai-ba-ria-vung-tau,Léman Cap Residence: Dự án khu căn hộ nghỉ dưỡng tại Vũng Tàu,https://cafeland.vn/du-an/leman-cap-residence-du-an-khu-can-ho-nghi-duong-tai-vung-tau-4057.html,Căn hộ chung cư,"số 24 Hạ Long, TP.Vũng Tàu, Bà Rịa - Vũng Tàu","Giá thấp nhất: 1,75 tỷ",Vũng Tàu,1
12,tai-ba-ria-vung-tau,Poulo Condor: Dự án khu căn hộ du lịch và khách sạn tại Côn Đảo,https://cafeland.vn/du-an/poulo-condor-du-an-khu-can-ho-du-lich-va-khach-san-tai-con-dao-4013.html,Căn hộ chung cư,"đường Cỏ Ống, Côn Đảo, Bà Rịa - Vũng Tàu",Địa chỉ:,Côn Đảo,1
13,tai-ba-ria-vung-tau,Ngọc Tước 2: Dự án khu biệt thự đồi tại Vũng Tàu,https://cafeland.vn/du-an/ngoc-tuoc-2-du-an-khu-biet-thu-doi-tai-vung-tau-3985.html,Nhà Phố - Biệt Thự,"đường 3/2, TP.Vũng Tàu, Bà Rịa - Vũng Tàu",Giá thấp nhất: 42 tỷ,Vũng Tàu,1
14,tai-ba-ria-vung-tau,Hamptons Plaza: Dự án khu phố thương mại Hồ Tràm,https://cafeland.vn/du-an/hamptons-plaza-du-an-khu-pho-thuong-mai-ho-tram-3914.html,Bất Động Sản Nghỉ Dưỡng,"đường Ven biển An Lộc – Bình Châu, Xuyên Mộc, Bà Rịa - Vũng Tàu",Giá thấp nhất: 9 tỷ,Xuyên Mộc,1
15,tai-ba-ria-vung-tau,The Sea Class: Phân khu căn hộ cao cấp tại Charm Resort Hồ Tràm,https://cafeland.vn/du-an/the-sea-class-phan-khu-can-ho-cao-cap-tai-charm-resort-ho-tram-3876.html,Bất Động Sản Nghỉ Dưỡng,"Xuyên Mộc, Bà Rịa - Vũng Tàu","Giá thấp nhất: 2,47 tỷ",Xuyên Mộc,1
16,tai-ba-ria-vung-tau,Alaric Tower – Dự án căn hộ nghỉ dưỡng tại Vũng Tàu,https://cafeland.vn/du-an/alaric-tower-du-an-can-ho-nghi-duong-tai-vung-tau-3837.html,Căn hộ chung cư,"đường 3/2, TP.Vũng Tàu, Bà Rịa - Vũng Tàu","Giá thấp nhất: 2,89 tỷ",Vũng Tàu,1
17,tai-ba-ria-vung-tau,Long Island: Phân khu của dự án Novaworld Hồ Tràm,https://cafeland.vn/du-an/long-island-phan-khu-cua-du-an-novaworld-ho-tram-3754.html,Bất Động Sản Nghỉ Dưỡng,"Lộc An – Bình Châu, Xuyên Mộc, Bà Rịa - Vũng Tàu","Giá thấp nhất: 14,64 tỷ",Xuyên Mộc,1
18,tai-ba-ria-vung-tau,Oyster Bay Vũng Tàu: Dự án căn hộ tại Bà Rịa - Vũng Tàu,https://cafeland.vn/du-an/oyster-bay-vung-tau-du-an-can-ho-tai-ba-ria-vung-tau-3683.html,Căn hộ chung cư,"82B đường Trần Phú, TP.Vũng Tàu, Bà Rịa - Vũng Tàu","Giá thấp nhất: 1,68 tỷ",Vũng Tàu,1
