,tinh,project,link,kind,location,price
0,tai-binh-dinh,Khu đô thị và du lịch An Quang Bình Định,https://cafeland.vn/du-an/khu-do-thi-va-du-lich-an-quang-binh-dinh-4320.html,Khu Đô Thị,"Địa chỉ: Thôn An Quang, xã Cát Khánh, Phù Cát, Bình Định",Địa chỉ:
1,tai-binh-dinh,Phú Tài Lộc: Dự án nhà ở xã hội chung cư tại Bình Định,https://cafeland.vn/du-an/phu-tai-loc-du-an-nha-o-xa-hoi-chung-cu-tai-binh-dinh-4298.html,Khu Đô Thị,"Địa chỉ: TP.Quy Nhơn, Bình Định",Địa chỉ:
2,tai-binh-dinh,EcoHome Nhơn Bình: Dự án tổ hợp chung cư và nhà ở xã hội tại Bình Định,https://cafeland.vn/du-an/ecohome-nhon-binh-du-an-to-hop-chung-cu-va-nha-o-xa-hoi-tai-binh-dinh-4285.html,Căn hộ chung cư,"Địa chỉ: TP.Quy Nhơn, Bình Định",Địa chỉ:
3,tai-binh-dinh,Nhơn Phú 2: Dự án nhà ở xã hội tại Quy Nhơn,https://cafeland.vn/du-an/nhon-phu-2-du-an-nha-o-xa-hoi-tai-quy-nhon-4265.html,Khu Đô Thị,"Địa chỉ: TP.Quy Nhơn, Bình Định",Địa chỉ:
4,tai-binh-dinh,La Costa Quy Nhơn: Dự án khu nghỉ dưỡng tại Bình Định,https://cafeland.vn/du-an/la-costa-quy-nhon-du-an-khu-nghi-duong-tai-binh-dinh-4253.html,Bất Động Sản Nghỉ Dưỡng,"Địa chỉ: Quốc lộ 1D, khu vực 1, TP.Quy Nhơn, Bình Định",Địa chỉ:
5,tai-binh-dinh,IEC Residences Quy Nhơn: Dự án chung cư tại Bình Định,https://cafeland.vn/du-an/iec-residences-quy-nhon-du-an-chung-cu-tai-binh-dinh-4209.html,Căn hộ chung cư,"Địa chỉ: Khu đô thị Long Vân, TP.Quy Nhơn, Bình Định",Giá thấp nhất: 611 triệu
6,tai-binh-dinh,Hội Vân: Dự án khu du lịch nghỉ dưỡng tại Bình Định,https://cafeland.vn/du-an/hoi-van-du-an-khu-du-lich-nghi-duong-tai-binh-dinh-4174.html,Bất Động Sản Nghỉ Dưỡng,"Địa chỉ: thôn Hội Vân, Phù Cát, Bình Định",Địa chỉ:
7,tai-binh-dinh,Diêm Vân: Dự án khu đô thị và du lịch sinh thái tại Bình Định,https://cafeland.vn/du-an/diem-van-du-an-khu-do-thi-va-du-lich-sinh-thai-tai-binh-dinh-4136.html,Khu Đô Thị,"Địa chỉ: khu đầm Thị Nại, Tuy Phước, Bình Định",Địa chỉ:
8,tai-binh-dinh,Marina District: Dự án phân khu căn hộ tại MerryLand Quy Nhơn,https://cafeland.vn/du-an/marina-district-du-an-phan-khu-can-ho-tai-merryland-quy-nhon-4099.html,Căn hộ chung cư,"Địa chỉ: đảo Hải Giang, TP.Quy Nhơn, Bình Định","Giá thấp nhất: 1,29 tỷ"
9,tai-binh-dinh,Imperial Oasis Quy Nhơn: Dự án khu đô thị du lịch biển tại Bình Định,https://cafeland.vn/du-an/imperial-oasis-quy-nhon-du-an-khu-do-thi-du-lich-bien-tai-binh-dinh-4095.html,Bất Động Sản Nghỉ Dưỡng,"Địa chỉ: Quốc lộ 19B, Khu đô thị Cát Tiến, Phù Cát, Bình Định",Địa chỉ:
