,tinh,project,link,kind,location,price
0,tai-da-nang,Nam Ô Discovery: Dự án căn hộ tại Đà Nẵng,https://cafeland.vn/du-an/nam-o-discovery-du-an-can-ho-tai-da-nang-4365.html,Căn hộ chung cư,"Địa chỉ: mặt tiền đường Nguyễn Tất Thành, quận Liên Chiểu, TP.Đà Nẵng, Liên Chiểu, Đà Nẵng",Địa chỉ:
1,tai-da-nang,"Tổ hợp căn hộ, khách sạn Nobu Residences Đà Nẵng",https://cafeland.vn/du-an/to-hop-can-ho-khach-san-nobu-residences-da-nang-4356.html,Căn hộ chung cư,"Địa chỉ: Ngã 3 Võ Nguyên Giáp – Võ Văn Kiệt, Sơn Trà, Đà Nẵng",Địa chỉ:
2,tai-da-nang,Nam Ô Heritage: Khu du lịch sinh thái tại Đà Nẵng,https://cafeland.vn/du-an/nam-o-heritage-khu-du-lich-sinh-thai-tai-da-nang-4346.html,Bất Động Sản Nghỉ Dưỡng,"Địa chỉ: đường Nguyễn Tất Thành, Liên Chiểu, Đà Nẵng",Địa chỉ:
3,tai-da-nang,Dự án Sun Symphony Residence Đà Nẵng,https://cafeland.vn/du-an/du-an-sun-symphony-residence-da-nang-4336.html,Khu Đô Thị,"Địa chỉ: đường Trần Hưng Đạo – Lê Văn Duyệt, Sơn Trà, Đà Nẵng",Địa chỉ:
4,tai-da-nang,Sun Ponte Residences: Khu đô thị nghỉ dưỡng ven sông Đà Nẵng,https://cafeland.vn/du-an/sun-ponte-residences-khu-do-thi-nghi-duong-ven-song-da-nang-4326.html,Khu Đô Thị,"Địa chỉ: đầu cầu Rồng, đường Trần Hưng Đạo, Sơn Trà, Đà Nẵng",Địa chỉ:
5,tai-da-nang,The Panoma 2: phân khu căn hộ thuộc tổ hợp Sun Cosmo Residence Đà Nẵng,https://cafeland.vn/du-an/the-panoma-2-phan-khu-can-ho-thuoc-to-hop-sun-cosmo-residence-da-nang-4317.html,Căn hộ chung cư,"Địa chỉ: đường Trần Thị Lý, Ngũ Hành Sơn, Đà Nẵng",Địa chỉ:
6,tai-da-nang,The One Tower: Dự án tòa nhà văn phòng kết hợp căn hộ nghỉ dưỡng tại Đà Nẵng,https://cafeland.vn/du-an/the-one-tower-du-an-toa-nha-van-phong-ket-hop-can-ho-nghi-duong-tai-da-nang-4279.html,Loại Hình Khác,"Địa chỉ: Hải Châu, Đà Nẵng",Địa chỉ:
7,tai-da-nang,Dragon City Park: Dự án khu đô thị xanh tại Đà nẵng,https://cafeland.vn/du-an/dragon-city-park-du-an-khu-do-thi-xanh-tai-da-nang-4264.html,Khu Đô Thị,"Địa chỉ: Đường số 5, Liên Chiểu, Đà Nẵng",Địa chỉ:
8,tai-da-nang,Risemount Sea Boutique: Dự án chung cư tại Đà Nẵng,https://cafeland.vn/du-an/risemount-sea-boutique-du-an-chung-cu-tai-da-nang-4213.html,Căn hộ chung cư,"Địa chỉ: đường Phạm Kiệt, Ngũ Hành Sơn, Đà Nẵng",Địa chỉ:
9,tai-da-nang,Sun Cosmo Residence: Dự án căn hộ - biệt thự - nhà phố tại Đà Nẵng,https://cafeland.vn/du-an/sun-cosmo-residence-du-an-can-ho-biet-thu-nha-pho-tai-da-nang-3989.html,Căn hộ chung cư,"Địa chỉ: đường Trần Thị Lý, Bắc Mỹ Phú, Ngũ Hành Sơn, Đà Nẵng",Địa chỉ:
10,tai-da-nang,FPT Plaza 3: Dự án chung cư tại Đà Nẵng,https://cafeland.vn/du-an/fpt-plaza-3-du-an-chung-cu-tai-da-nang-3907.html,Căn hộ chung cư,"Địa chỉ: đường Võ Quý Huân, Ngũ Hành Sơn, Đà Nẵng",Địa chỉ:
