,tinh,project,link,kind,location,price
0,tai-ha-tinh,Song Long Green Avenue: Dự án khu đô thị tại Hà Tĩnh,https://cafeland.vn/du-an/song-long-green-avenue-du-an-khu-do-thi-tai-ha-tinh-4357.html,Khu Đô Thị,"Địa chỉ: thôn Song Long, Nghi Xuân, Hà Tĩnh",Địa chỉ:
1,tai-ha-tinh,Bắc Thạch Hà: Dự án khu công nghiệp tại Hà Tĩnh,https://cafeland.vn/du-an/bac-thach-ha-du-an-khu-cong-nghiep-tai-ha-tinh-4241.html,Khu công nghiệp,"Địa chỉ: Thạch Hà, Hà Tĩnh",Địa chỉ:
2,tai-ha-tinh,Wyndham Costa Hà Tĩnh: Dự án khu đô thị du lịch biển tại Hà Tĩnh,https://cafeland.vn/du-an/wyndham-costa-ha-tinh-du-an-khu-do-thi-du-lich-bien-tai-ha-tinh-4129.html,Bất Động Sản Nghỉ Dưỡng,"Địa chỉ: thôn Đông Văn, xã Thạch Văn và thôn Toàn Thắng, xã Thạch Trị, Thạch Hà, Hà Tĩnh",Địa chỉ:
3,tai-ha-tinh,Hà Mỹ Hưng: Dự án khu đô thị tại Hà Tĩnh,https://cafeland.vn/du-an/ha-my-hung-du-an-khu-do-thi-tai-ha-tinh-4071.html,Đất Nền Dự Án,"Địa chỉ: đường Hàm Nghi, Thạch Hà, Hà Tĩnh",Giá thấp nhất: 4 tỷ
4,tai-ha-tinh,TNR Stars Đức Thọ: Dự án khu đô thị tại Hà Tĩnh,https://cafeland.vn/du-an/tnr-stars-duc-tho-du-an-khu-do-thi-tai-ha-tinh-3978.html,Khu Đô Thị,"Địa chỉ: Quốc lộ 15, thị trấn Đức Thọ, Đức Thọ, Hà Tĩnh",Địa chỉ:
5,tai-ha-tinh,Thiên Lộc Complex: Dự án khu đô thị tại Hà Tĩnh,https://cafeland.vn/du-an/thien-loc-complex-du-an-khu-do-thi-tai-ha-tinh-3542.html,Khu Đô Thị,"Địa chỉ: Dự án Khu đô thị Thiên Lộc Complex có vị trí nằm cạnh ngã ba đường QL 1A, Can Lộc, Hà Tĩnh",Giá thấp nhất: 748 triệu
6,tai-ha-tinh,Đông Dương Green: Dự án khu tổ hợp dịch vụ và thương mại tại Hà Tĩnh,https://cafeland.vn/du-an/dong-duong-green-du-an-khu-to-hop-dich-vu-va-thuong-mai-tai-ha-tinh-3539.html,Loại Hình Khác,"Địa chỉ: Xã Cương Gián, Nghi Xuân, Hà Tĩnh","Giá thấp nhất: 1,10 tỷ"
7,tai-ha-tinh,Dự án Hoa Tiên Paradise Hà Tĩnh,https://cafeland.vn/du-an/du-an-hoa-tien-paradise-ha-tinh-3292.html,Bất Động Sản Nghỉ Dưỡng,"Địa chỉ: bãi biển Xuân Thành, Nghi Xuân, Hà Tĩnh","Giá thấp nhất: 1,8 tỷ"
8,tai-ha-tinh,Dự án Thiên Lộc Legend Hà Tĩnh,https://cafeland.vn/du-an/du-an-thien-loc-legend-ha-tinh-3286.html,Đất Nền Dự Án,"Địa chỉ: ngã tư Hạ Vàng, Can Lộc, Hà Tĩnh","Giá thấp nhất: 1,82 tỷ"
9,tai-ha-tinh,Khu đô thị Nam Phố Châu Hà Tĩnh,https://cafeland.vn/du-an/khu-do-thi-nam-pho-chau-ha-tinh-3217.html,Đất Nền Dự Án,"Địa chỉ: Đường Trần Kim Xuyến giao với đường Lương Hiển, Hương Sơn, Hà Tĩnh",Địa chỉ:
10,tai-ha-tinh,Khu dân cư TNR Stars Hồng Lĩnh Hà Tĩnh,https://cafeland.vn/du-an/khu-dan-cu-tnr-stars-hong-linh-ha-tinh-3137.html,Khu Đô Thị,"Địa chỉ: TX. Hồng Lĩnh, Hà Tĩnh",Địa chỉ:
11,tai-ha-tinh,"Tổ hợp căn hộ, nhà phố thương mại D’ Metropole Hà Tĩnh",https://cafeland.vn/du-an/to-hop-can-ho-nha-pho-thuong-mai-d-metropole-ha-tinh-3041.html,Căn hộ chung cư,"Địa chỉ: 4 trục đường chính là Nguyễn Huy Tự, Bùi Dương Lịch, Phan Kinh và Nguyễn Huy, TP. Hà Tĩnh, Hà Tĩnh",Địa chỉ:
