,tinh,project,link,kind,location,price
0,tai-hai-phong,Phân khu Golf Land - Vinhomes Royal Island Hải Phòng,https://cafeland.vn/du-an/phan-khu-golf-land-vinhomes-royal-island-hai-phong-4363.html,Nhà Phố - Biệt Thự,"Địa chỉ: đảo Vũ Yên, Thủy Nguyên, Hải Phòng",Địa chỉ:
1,tai-hai-phong,"The Centric: Tổ hợp thương mại, giải trí, văn hóa tại Hải Phòng",https://cafeland.vn/du-an/the-centric-to-hop-thuong-mai-giai-tri-van-hoa-tai-hai-phong-4360.html,Khu Đô Thị,"Địa chỉ: đường Đỗ Mười, Thủy Nguyên, Hải Phòng",Địa chỉ:
2,tai-hai-phong,Khu đô thị Golden Point Hải Phòng,https://cafeland.vn/du-an/khu-do-thi-golden-point-hai-phong-4333.html,Khu Đô Thị,"Địa chỉ: tổ dân phố Đông Khê 2, Kiến An, Hải Phòng",Địa chỉ:
3,tai-hai-phong,Phân khu Tài Lộc – Vinhomes Royal Island,https://cafeland.vn/du-an/phan-khu-tai-loc-vinhomes-royal-island-4328.html,Khu Đô Thị,"Địa chỉ: thuộc Đảo Vũ Yên, đường Nguyễn Bỉnh Khiêm, Hải An, Hải Phòng",Địa chỉ:
4,tai-hai-phong,BRG Coastal City: Khu du lịch sinh thái nghỉ dưỡng đẳng cấp tại Hải Phòng,https://cafeland.vn/du-an/brg-coastal-city-khu-du-lich-sinh-thai-nghi-duong-dang-cap-tai-hai-phong-4283.html,Bất Động Sản Nghỉ Dưỡng,"Địa chỉ: Đường Phạm Văn Đồng, Đồ Sơn, Hải Phòng",Địa chỉ:
5,tai-hai-phong,Hoàng Huy New Pruksa Town: Dự án nhà ở xã hội tại An Đồng,https://cafeland.vn/du-an/hoang-huy-new-pruksa-town-du-an-nha-o-xa-hoi-tai-an-dong-4242.html,Căn hộ chung cư,"Địa chỉ: Đường Máng Nước, xã An Đồng, huyện An Dương, Hải Phòng, An Dương, Hải Phòng",Địa chỉ:
6,tai-hai-phong,Golden Crown: Dự án khu căn hộ cao cấp tại Hải Phòng,https://cafeland.vn/du-an/golden-crown-du-an-khu-can-ho-cao-cap-tai-hai-phong-4237.html,Căn hộ chung cư,"Địa chỉ: Lô số 10A đường Lê Hồng Phong, Hải An, Hải Phòng",Địa chỉ:
7,tai-hai-phong,Golden Land 5: Dự án cải tạo căn hộ chung cư tại Hải Phòng,https://cafeland.vn/du-an/golden-land-5-du-an-cai-tao-can-ho-chung-cu-tai-hai-phong-4236.html,Căn hộ chung cư,"Địa chỉ: Phường Lạch Tray, quận Ngô Quyền, thành phố Hải Phòng, Ngô Quyền, Hải Phòng",Địa chỉ:
8,tai-hai-phong,Gem Park: Dự án căn hộ tại Hải Phòng,https://cafeland.vn/du-an/gem-park-du-an-can-ho-tai-hai-phong-4203.html,Căn hộ chung cư,"Địa chỉ: đường Hồng Bàng, Hồng Bàng, Hải Phòng",Địa chỉ:
9,tai-hai-phong,Vinhomes Phoenix Island: Dự án khu đô thị tại Hải Phòng,https://cafeland.vn/du-an/vinhomes-phoenix-island-du-an-khu-do-thi-tai-hai-phong-4159.html,Khu Đô Thị,"Địa chỉ: đảo Vũ Yên, Thủy Nguyên, Hải Phòng",Địa chỉ:
10,tai-hai-phong,Him Lam Hùng Vương: Dự án khu nhà ở tại Hải Phòng,https://cafeland.vn/du-an/him-lam-hung-vuong-du-an-khu-nha-o-tai-hai-phong-4142.html,Khu Đô Thị,"Địa chỉ: Quốc lộ 5, Hồng Bàng, Hải Phòng","Giá thấp nhất: 2,37 tỷ"
11,tai-hai-phong,Royal River City: Dự án khu đô thị tại Hải Phòng,https://cafeland.vn/du-an/royal-river-city-du-an-khu-do-thi-tai-hai-phong-4117.html,Khu Đô Thị,"Địa chỉ: số 80 Hạ Lý, Hồng Bàng, Hải Phòng",Địa chỉ:
12,tai-hai-phong,Hong Kong Town: Dự án shophouse tại Hải Phòng,https://cafeland.vn/du-an/hong-kong-town-du-an-shophouse-tai-hai-phong-4094.html,Đất Nền Dự Án,"Địa chỉ: đường 353C, Đồ Sơn, Hải Phòng","Giá thấp nhất: 1,75 tỷ"
13,tai-hai-phong,Evergreen Tràng Duệ: Dự án nhà ở xã hội tại Hải Phòng,https://cafeland.vn/du-an/evergreen-trang-due-du-an-nha-o-xa-hoi-tai-hai-phong-4079.html,Căn hộ chung cư,"Địa chỉ: Quốc lộ 10, An Dương, Hải Phòng",Địa chỉ:
14,tai-hai-phong,Hải An Center: Dự án khu phức hợp thương mại tại Hải Phòng,https://cafeland.vn/du-an/hai-an-center-du-an-khu-phuc-hop-thuong-mai-tai-hai-phong-4034.html,Khu Đô Thị,"Địa chỉ: đường Liên Phường, Hải An, Hải Phòng","Giá thấp nhất: 9,45 tỷ"
15,tai-hai-phong,MoonBay Residence: Dự án nhà ở xã hội tại Hải Phòng,https://cafeland.vn/du-an/moonbay-residence-du-an-nha-o-xa-hoi-tai-hai-phong-4017.html,Căn hộ chung cư,"Địa chỉ: số 384 Lê Thánh Tông, Ngô Quyền, Hải Phòng",Địa chỉ:
16,tai-hai-phong,TNR Stars Vĩnh Bảo: Dự án khu phức hợp tại Hải Phòng,https://cafeland.vn/du-an/tnr-stars-vinh-bao-du-an-khu-phuc-hop-tai-hai-phong-3964.html,Khu Đô Thị,"Địa chỉ: Quốc lộ 10, thị trấn Vĩnh Bảo, Vĩnh Bảo, Hải Phòng",Địa chỉ:
17,tai-hai-phong,Sapphire Gem: Dự án nhà phố thương mại tại Hải Phòng,https://cafeland.vn/du-an/sapphire-gem-du-an-nha-pho-thuong-mai-tai-hai-phong-3934.html,Khu Đô Thị,"Địa chỉ: đường 9C, Thủy Nguyên, Hải Phòng",Địa chỉ:
18,tai-hai-phong,Sentosa Sky Park: Dự án căn hộ tại Hải Phòng,https://cafeland.vn/du-an/sentosa-sky-park-du-an-can-ho-tai-hai-phong-3925.html,Căn hộ chung cư,"Địa chỉ: giao lộ Bùi Viện - Võ Nguyên Giáp, Lê Chân, Hải Phòng","Giá thấp nhất: 1,8 tỷ"
19,tai-hai-phong,HP Elite Central: Dự án khu đô thị tại Hải Phòng,https://cafeland.vn/du-an/hp-elite-central-du-an-khu-do-thi-tai-hai-phong-3903.html,Khu Đô Thị,"Địa chỉ: tổ dân phố Đống Khê 1, Kiến An, Hải Phòng","Giá thấp nhất: 3,12 tỷ"
