,tinh,project,link,kind,location,price
0,tai-khanh-hoa,Libera Nha Trang: Tổ hợp căn hộ nghỉ dưỡng tại Khánh Hòa,https://cafeland.vn/du-an/libera-nha-trang-to-hop-can-ho-nghi-duong-tai-khanh-hoa-4338.html,Bất Động Sản Nghỉ Dưỡng,"Địa chỉ: Đại lộ Phạm Văn Đồng, Khu vực Bãi Tiên, khóm Đường Đệ, phường Vĩnh Hòa, TP.Nha Trang, tỉnh Khánh Hòa, TP. Nha Trang, Khánh Hòa",Địa chỉ:
1,tai-khanh-hoa,Vinhomes Happy Home Cam Ranh: Dự án nhà ở xã hội tại Khu đô thị ven vịnh Cam Ranh,https://cafeland.vn/du-an/vinhomes-happy-home-cam-ranh-du-an-nha-o-xa-hoi-tai-khu-do-thi-ven-vinh-cam-ranh-4312.html,Căn hộ chung cư,"Địa chỉ: mặt tiền Quốc lộ 1A, TP. Cam Ranh, Khánh Hòa",Địa chỉ:
2,tai-khanh-hoa,CT2 VCN Phước Long: Dự án chung cư mới tại Khánh Hòa,https://cafeland.vn/du-an/ct2-vcn-phuoc-long-du-an-chung-cu-moi-tai-khanh-hoa-4281.html,Căn hộ chung cư,"Địa chỉ: TP. Nha Trang, Khánh Hòa",Địa chỉ:
3,tai-khanh-hoa,Phước Đồng: Dự án khu nhà ở tại Nha Trang,https://cafeland.vn/du-an/phuoc-dong-du-an-khu-nha-o-tai-nha-trang-4101.html,Đất Nền Dự Án,"Địa chỉ: đường Nguyễn Tất Thành, TP. Nha Trang, Khánh Hòa",Địa chỉ:
4,tai-khanh-hoa,Meliá Nha Trang: Dự án căn hộ khách sạn tại Nha Trang,https://cafeland.vn/du-an/melia-nha-trang-du-an-can-ho-khach-san-tai-nha-trang-4004.html,Căn hộ chung cư,"Địa chỉ: đại lộ Phạm Văn Đồng, TP. Nha Trang, Khánh Hòa","Giá thấp nhất: 4,49 tỷ"
5,tai-khanh-hoa,CT1 Riverside Luxury: Dự án căn hộ tại Khu đô thị VCN Phước Long,https://cafeland.vn/du-an/ct1-riverside-luxury-du-an-can-ho-tai-khu-do-thi-vcn-phuoc-long-3871.html,Căn hộ chung cư,"Địa chỉ: Khu đô thị VCN Phước Long, TP. Nha Trang, Khánh Hòa",Địa chỉ:
6,tai-khanh-hoa,CT9 Vĩnh Điềm Trung: Dự án căn hộ tại Khu đô thị Vĩnh Điềm Trung,https://cafeland.vn/du-an/ct9-vinh-diem-trung-du-an-can-ho-tai-khu-do-thi-vinh-diem-trung-3869.html,Căn hộ chung cư,"Địa chỉ: số 21, đường Đ.C1, TP. Nha Trang, Khánh Hòa",Giá thấp nhất: 944 triệu
7,tai-khanh-hoa,Grand Mark Nha Trang: Dự án căn hộ tại Khánh Hòa,https://cafeland.vn/du-an/grand-mark-nha-trang-du-an-can-ho-tai-khanh-hoa-3762.html,Căn hộ chung cư,"Địa chỉ: số 16 Đường Phước Long, TP. Nha Trang, Khánh Hòa","Giá thấp nhất: 1,55 tỷ"
8,tai-khanh-hoa,Suối Tân Diamond Town: Dự án khu dân cư tại tỉnh Khánh Hòa,https://cafeland.vn/du-an/suoi-tan-diamond-town-du-an-khu-dan-cu-tai-tinh-khanh-hoa-3747.html,Đất Nền Dự Án,"Địa chỉ: Xã Suối Tân, Cam Lâm, Khánh Hòa",Giá thấp nhất: 680 triệu
9,tai-khanh-hoa,Para Sol: Phân khu nghỉ dưỡng thấp tầng tại KN Paradise Cam Ranh,https://cafeland.vn/du-an/para-sol-phan-khu-nghi-duong-thap-tang-tai-kn-paradise-cam-ranh-3743.html,Bất Động Sản Nghỉ Dưỡng,"Địa chỉ: Nằm tại trung tâm của dự án KN Paradise Cam Ranh, Bãi Dài, TP. Cam Ranh, Khánh Hòa","Giá thấp nhất: 5,94 tỷ"
10,tai-khanh-hoa,Wonder City Vân Phong Bay: Dự án khu du lịch nghỉ dưỡng tại Khánh Hòa,https://cafeland.vn/du-an/wonder-city-van-phong-bay-du-an-khu-du-lich-nghi-duong-tai-khanh-hoa-3680.html,Bất Động Sản Nghỉ Dưỡng,"Địa chỉ: thôn Đầm Môn, Vạn Thạnh, Vạn Ninh, Khánh Hòa",Địa chỉ:
