,tinh,project,link,kind,location,price
0,tai-nghe-an,389 Dream Home: Dự án chung cư cao cấp tại Vinh,https://cafeland.vn/du-an/389-dream-home-du-an-chung-cu-cao-cap-tai-vinh-4268.html,Căn hộ chung cư,"Địa chỉ: Số 33, đường Phan Bội Châu, TP.Vinh, Nghệ An",Địa chỉ:
1,tai-nghe-an,Hoàng Mai 2: Dự án khu công nghiệp tại Nghệ An,https://cafeland.vn/du-an/hoang-mai-2-du-an-khu-cong-nghiep-tai-nghe-an-4239.html,Khu công nghiệp,"Địa chỉ: TX. Hoàng Mai, Nghệ An",Địa chỉ:
2,tai-nghe-an,KT Home: Dự án nhà ở xã hội tại Nghệ An,https://cafeland.vn/du-an/kt-home-du-an-nha-o-xa-hoi-tai-nghe-an-4211.html,Căn hộ chung cư,"Địa chỉ: đường N5, Nghi Lộc, Nghệ An",Địa chỉ:
3,tai-nghe-an,Central Park Residence: Dự án căn hộ tại Khu đô thị Eco Central Park,https://cafeland.vn/du-an/central-park-residence-du-an-can-ho-tai-khu-do-thi-eco-central-park-4199.html,Căn hộ chung cư,"Địa chỉ: Khu đô thị Eco Central Park, TP.Vinh, Nghệ An",Địa chỉ:
4,tai-nghe-an,The Plaza: Phân khu tại dự án Eco Central Park,https://cafeland.vn/du-an/the-plaza-phan-khu-tai-du-an-eco-central-park-4087.html,Khu Đô Thị,"Địa chỉ: Khu đô thị Eco Central Park, TP.Vinh, Nghệ An","Giá thấp nhất: 6,7 tỷ"
5,tai-nghe-an,Aqua Pearl City: Dự án khu đô thị tại Nghệ An,https://cafeland.vn/du-an/aqua-pearl-city-du-an-khu-do-thi-tai-nghe-an-4086.html,Khu Đô Thị,"Địa chỉ: đại lộ 72, TX. Cửa Lò, Nghệ An","Giá thấp nhất: 5,19 tỷ"
6,tai-nghe-an,Vinh Lotus Residence: Dự án căn hộ chung cư tại Nghệ An,https://cafeland.vn/du-an/vinh-lotus-residence-du-an-can-ho-chung-cu-tai-nghe-an-3981.html,Căn hộ chung cư,"Địa chỉ: đường Hồng Bàng, TP.Vinh, Nghệ An",Giá thấp nhất: 718 triệu
7,tai-nghe-an,TNR Stars Thái Hòa: Dự án khu đô thị tại Nghệ An,https://cafeland.vn/du-an/tnr-stars-thai-hoa-du-an-khu-do-thi-tai-nghe-an-3975.html,Khu Đô Thị,"Địa chỉ: đường Lê Hồng Phong, TX. Thái Hòa, Nghệ An","Giá thấp nhất: 4,53 tỷ"
8,tai-nghe-an,Khu đô thị Đại Thành Trung Đô: Dự án tại tỉnh Nghệ An,https://cafeland.vn/du-an/khu-do-thi-dai-thanh-trung-do-du-an-tai-tinh-nghe-an-3804.html,Khu Đô Thị,"Địa chỉ: Khối 3, TP.Vinh, Nghệ An",Địa chỉ:
9,tai-nghe-an,Đô Lương Central Park: Dự án khu đô thị tại Nghệ An,https://cafeland.vn/du-an/do-luong-central-park-du-an-khu-do-thi-tai-nghe-an-3782.html,Khu Đô Thị,"Địa chỉ: Quốc lộ 15, thị xã Đô Lương, Đô Lương, Nghệ An",Địa chỉ:
10,tai-nghe-an,Handico Hưng Dũng: Dự án chung cư tại Nghệ An,https://cafeland.vn/du-an/handico-hung-dung-du-an-chung-cu-tai-nghe-an-3736.html,Căn hộ chung cư,"Địa chỉ: đường Nguyễn Viết Xuân, TP.Vinh, Nghệ An",Giá thấp nhất: 985 triệu
11,tai-nghe-an,Vincom Shophouse Diamond Legacy: Tổ hợp trung tâm thương mại tại Nghệ An,https://cafeland.vn/du-an/vincom-shophouse-diamond-legacy-to-hop-trung-tam-thuong-mai-tai-nghe-an-3720.html,Loại Hình Khác,"Địa chỉ: đường Quang Trung, TP.Vinh, Nghệ An",Giá thấp nhất: 660 triệu
