,tinh,project,link,kind,location,price
0,tai-ninh-thuan,Premium Ocean Gate: Dự án khu nhà ở thấp tầng trong khu đô thị biển Bình Sơn – Ninh Chữ tại Ninh Thuận,https://cafeland.vn/du-an/premium-ocean-gate-du-an-khu-nha-o-thap-tang-trong-khu-do-thi-bien-binh-son-ninh-chu-tai-ninh-thuan-4296.html,Căn hộ chung cư,"Địa chỉ: Đường Yên Ninh, TP. Phan Rang - Tháp Chàm, Ninh Thuận",Địa chỉ:
1,tai-ninh-thuan,Vĩnh Hy: Dự án khu nghỉ dưỡng cao cấp tại Ninh Thuận,https://cafeland.vn/du-an/vinh-hy-du-an-khu-nghi-duong-cao-cap-tai-ninh-thuan-4232.html,Bất Động Sản Nghỉ Dưỡng,"Địa chỉ: Xã Vĩnh Hải, Ninh Hải, Ninh Thuận",Địa chỉ:
2,tai-ninh-thuan,Sông Dinh: Dự án khu đô thị mới tại Ninh Thuận,https://cafeland.vn/du-an/song-dinh-du-an-khu-do-thi-moi-tai-ninh-thuan-4161.html,Khu Đô Thị,"Địa chỉ: TP. Phan Rang - Tháp Chàm, Ninh Thuận",Địa chỉ:
3,tai-ninh-thuan,Tân Hội: Dự án Khu dân cư tại Ninh Thuận,https://cafeland.vn/du-an/tan-hoi-du-an-khu-dan-cu-tai-ninh-thuan-4107.html,Đất Nền Dự Án,"Địa chỉ: thôn Tân Hội, TP. Phan Rang - Tháp Chàm, Ninh Thuận",Giá thấp nhất: 990 triệu
4,tai-ninh-thuan,Cà Ná New City: Dự án khu đô thị tại Ninh Thuận,https://cafeland.vn/du-an/ca-na-new-city-du-an-khu-do-thi-tai-ninh-thuan-4106.html,Khu Đô Thị,"Địa chỉ: Đường ven biển Ninh Thuận, Thuận Nam, Ninh Thuận",Địa chỉ:
5,tai-ninh-thuan,Mỹ Phước: Dự án khu đô thị tại Ninh Thuận,https://cafeland.vn/du-an/my-phuoc-du-an-khu-do-thi-tai-ninh-thuan-3958.html,Khu Đô Thị,"Địa chỉ: đường 16/04, TP. Phan Rang - Tháp Chàm, Ninh Thuận",Địa chỉ:
6,tai-ninh-thuan,Rocko Bay Resort: Dự án du lịch nghỉ dưỡng tại Ninh Thuận,https://cafeland.vn/du-an/rocko-bay-resort-du-an-du-lich-nghi-duong-tai-ninh-thuan-3415.html,Bất Động Sản Nghỉ Dưỡng,"Địa chỉ: Dưới chân Núi Chúa, thôn Thái An,, Ninh Hải, Ninh Thuận",Địa chỉ:
7,tai-ninh-thuan,Hacom Galacity: Dự án Nhà ở xã hội Ninh Thuận,https://cafeland.vn/du-an/hacom-galacity-du-an-nha-o-xa-hoi-ninh-thuan-3405.html,Căn hộ chung cư,"Địa chỉ: đường Trần Nhân Tông, TP. Phan Rang - Tháp Chàm, Ninh Thuận",Địa chỉ:
8,tai-ninh-thuan,Khu du lịch Cap Padaran Mũi Dinh Ninh Thuận,https://cafeland.vn/du-an/khu-du-lich-cap-padaran-mui-dinh-ninh-thuan-3367.html,Bất Động Sản Nghỉ Dưỡng,"Địa chỉ: xã Phước Dinh, huyện Thuận Nam, Ninh Thuận",Địa chỉ:
9,tai-ninh-thuan,Dự án Nara Bình Tiên Golf Club Ninh Thuận,https://cafeland.vn/du-an/du-an-nara-binh-tien-golf-club-ninh-thuan-3354.html,Bất Động Sản Nghỉ Dưỡng,"Địa chỉ: thôn Bình Tiên, xã Công Hải, huyện Thuận Bắc, Ninh Thuận",Địa chỉ:
10,tai-ninh-thuan,Khu dân cư Tháp Chàm 1 Ninh Thuận,https://cafeland.vn/du-an/khu-dan-cu-thap-cham-1-ninh-thuan-2907.html,Khu Đô Thị,"Địa chỉ: Đường Bác Ái, TP. Phan Rang - Tháp Chàm, Ninh Thuận",Địa chỉ:
11,tai-ninh-thuan,Khu đô thị Bình Sơn Ocean Park Ninh Thuận,https://cafeland.vn/du-an/khu-do-thi-binh-son-ocean-park-ninh-thuan-2906.html,Bất Động Sản Nghỉ Dưỡng,"Địa chỉ: Đường Yên Ninh, phường Mỹ Bình, TP. Phan Rang - Tháp Chàm, Ninh Thuận",Địa chỉ:
12,tai-ninh-thuan,Dự án Hacom Mall Ninh Thuận,https://cafeland.vn/du-an/du-an-hacom-mall-ninh-thuan-2866.html,Căn hộ chung cư,"Địa chỉ: Khu đô thị mới Đông Bắc, TP. Phan Rang - Tháp Chàm, Ninh Thuận","Giá thấp nhất: 1,68 tỷ"
