,tinh,project,link,kind,location,price
0,tai-phu-yen,Stelia Beach Resort: Dự án khu nghỉ dưỡng tại Phú Yên,https://cafeland.vn/du-an/stelia-beach-resort-du-an-khu-nghi-duong-tai-phu-yen-4016.html,Bất Động Sản Nghỉ Dưỡng,"Địa chỉ: lô C1, đường Độc Lập, TP. Tuy Hòa, Phú Yên",Địa chỉ:
1,tai-phu-yen,La Emera: Dự án shophouse tại Phú Yên,https://cafeland.vn/du-an/la-emera-du-an-shophouse-tai-phu-yen-3896.html,Khu Đô Thị,"Địa chỉ: đại lộ Hùng Vương, TP. Tuy Hòa, Phú Yên",Địa chỉ:
2,tai-phu-yen,Hòa Thạnh Resort: Dự án khu du lịch biển tại tỉnh Phú Yên,https://cafeland.vn/du-an/hoa-thanh-resort-du-an-khu-du-lich-bien-tai-tinh-phu-yen-3795.html,Bất Động Sản Nghỉ Dưỡng,"Địa chỉ: Thôn Hòa Thành, TX. Sông Cầu, Phú Yên",Địa chỉ:
3,tai-phu-yen,Apec Mandala Grand: Dự án chung cư tại Phú Yên,https://cafeland.vn/du-an/apec-mandala-grand-du-an-chung-cu-tai-phu-yen-3486.html,Căn hộ chung cư,"Địa chỉ: Ngã tư Nguyễn Hữu Thọ và Đại Lộ Hùng Vương, thành phố Tuy Hòa, tỉnh Phú Yên, TP. Tuy Hòa, Phú Yên",Địa chỉ:
4,tai-phu-yen,Tổ hợp shophouse HTL Seaside Phú Yên,https://cafeland.vn/du-an/to-hop-shophouse-htl-seaside-phu-yen-3361.html,Khu Đô Thị,"Địa chỉ: đường Hùng Vương, TP. Tuy Hòa, Phú Yên","Giá thấp nhất: 7,10 tỷ"
5,tai-phu-yen,Tổ hợp căn hộ và nhà phố thương mại Lynn Times Phú Yên,https://cafeland.vn/du-an/to-hop-can-ho-va-nha-pho-thuong-mai-lynn-times-phu-yen-3357.html,Loại Hình Khác,"Địa chỉ: đại lộ Phan Chu Trinh, phường Phú Đông, TP. Tuy Hòa, Phú Yên",Địa chỉ:
6,tai-phu-yen,Khu dân cư Regal Maison Phú Yên,https://cafeland.vn/du-an/khu-dan-cu-regal-maison-phu-yen-3037.html,Khu Đô Thị,"Địa chỉ: Đại lộ Hùng Vương, TP. Tuy Hòa, Phú Yên","Giá thấp nhất: 5,69 tỷ"
7,tai-phu-yen,Khu nghỉ dưỡng và giải trí ven biển cao cấp L'Aurora Phu Yen,https://cafeland.vn/du-an/khu-nghi-duong-va-giai-tri-ven-bien-cao-cap-laurora-phu-yen-2981.html,Bất Động Sản Nghỉ Dưỡng,"Địa chỉ: Lô B2, đường Độc Lập, TP. Tuy Hòa, Phú Yên",Địa chỉ:
8,tai-phu-yen,Khu du lịch nghỉ dưỡng Crystal Holidays Marina Phú Yên,https://cafeland.vn/du-an/khu-du-lich-nghi-duong-crystal-holidays-marina-phu-yen-2940.html,Bất Động Sản Nghỉ Dưỡng,"Địa chỉ: Vịnh Xuân Đài, phường Xuân Đài, TX. Sông Cầu, Phú Yên",Địa chỉ:
9,tai-phu-yen,Tổ hợp TNR Grand Place Phú Yên,https://cafeland.vn/du-an/to-hop-tnr-grand-place-phu-yen-2780.html,Loại Hình Khác,"Địa chỉ: Đường Hùng Vương, TP. Tuy Hòa, Phú Yên",Địa chỉ:
