,tinh,project,link,kind,location,price
0,tai-quang-nam,Hội An Legacity: Dự án khu đô thị tại TP.Hội An,https://cafeland.vn/du-an/hoi-an-legacity-du-an-khu-do-thi-tai-tphoi-an-4351.html,Khu Đô Thị,"Địa chỉ: đường 28 tháng 3, phường Thanh Hà, TP.Hội An, tỉnh Quảng Nam, TP. Hội An, Quảng Nam",Địa chỉ:
1,tai-quang-nam,Ngân Câu: Dự án khu đô thị tại Quảng Ngãi,https://cafeland.vn/du-an/ngan-cau-du-an-khu-do-thi-tai-quang-ngai-4235.html,Khu Đô Thị,"Địa chỉ: đường Trần Hưng Đạo, TX. Điện Bàn, Quảng Nam",Địa chỉ:
2,tai-quang-nam,Thiên Ân: Dự án khu đô thị tại Quảng Nam,https://cafeland.vn/du-an/thien-an-du-an-khu-do-thi-tai-quang-nam-4231.html,Khu Đô Thị,"Địa chỉ: đô thị mới Điện Nam - Điện Ngọc, TX. Điện Bàn, Quảng Nam",Địa chỉ:
3,tai-quang-nam,Tam Kỳ Resort: Dự án khu nghỉ dưỡng tại Quảng Nam,https://cafeland.vn/du-an/tam-ky-resort-du-an-khu-nghi-duong-tai-quang-nam-4225.html,Bất Động Sản Nghỉ Dưỡng,"Địa chỉ: bãi biển Hạ Thanh,, TP. Tam Kỳ, Quảng Nam",Địa chỉ:
4,tai-quang-nam,Bình An: Dự án khu dân cư tại Quảng Nam,https://cafeland.vn/du-an/binh-an-du-an-khu-dan-cu-tai-quang-nam-4097.html,Đất Nền Dự Án,"Địa chỉ: Quốc lộ 1A, Thăng Bình, Quảng Nam",Địa chỉ:
5,tai-quang-nam,Phong Nhị: Dự án khu dân cư tại Quảng Nam,https://cafeland.vn/du-an/phong-nhi-du-an-khu-dan-cu-tai-quang-nam-4069.html,Đất Nền Dự Án,"Địa chỉ: Khối phố Phong Nhị, TX. Điện Bàn, Quảng Nam","Giá thấp nhất: 1,66 tỷ"
6,tai-quang-nam,Nhà vườn kiểu Mỹ: Phân khu tại dự án Vịnh An Hòa City,https://cafeland.vn/du-an/nha-vuon-kieu-my-phan-khu-tai-du-an-vinh-an-hoa-city-4033.html,Khu Đô Thị,"Địa chỉ: đường Võ Chí Công, Núi Thành, Quảng Nam",Địa chỉ:
7,tai-quang-nam,Shantira Legasea Villas: Dự án khu biệt thự nghỉ dưỡng tại Hội An,https://cafeland.vn/du-an/shantira-legasea-villas-du-an-khu-biet-thu-nghi-duong-tai-hoi-an-3954.html,Nhà Phố - Biệt Thự,"Địa chỉ: đường Lạc Long Quân, TP. Hội An, Quảng Nam","Giá thấp nhất: 22,3 tỷ"
8,tai-quang-nam,Casamia Calm Hoi An: Dự án khu biệt thự tại Quảng Nam,https://cafeland.vn/du-an/casamia-calm-hoi-an-du-an-khu-biet-thu-tai-quang-nam-3942.html,Nhà Phố - Biệt Thự,"Địa chỉ: đường Nguyễn Chí Thanh, TP. Hội An, Quảng Nam","Giá thấp nhất: 6,22 tỷ"
9,tai-quang-nam,Hoi An Royal Park: Dự án khu đô thị tại Quảng Nam,https://cafeland.vn/du-an/hoi-an-royal-park-du-an-khu-do-thi-tai-quang-nam-3941.html,Khu Đô Thị,"Địa chỉ: đường 28 tháng 3, TP. Hội An, Quảng Nam",Địa chỉ:
10,tai-quang-nam,The Dien Nam Village: Dự án khu dân cư tại Quảng Nam,https://cafeland.vn/du-an/the-dien-nam-village-du-an-khu-dan-cu-tai-quang-nam-3939.html,Khu Đô Thị,"Địa chỉ: đường số 15, TX. Điện Bàn, Quảng Nam",Giá thấp nhất: 960 triệu
11,tai-quang-nam,Hera Complex Riverside: Dự án khu đô thị tại Quảng Nam,https://cafeland.vn/du-an/hera-complex-riverside-du-an-khu-do-thi-tai-quang-nam-3932.html,Khu Đô Thị,"Địa chỉ: TX. Điện Bàn, Quảng Nam",Địa chỉ:
12,tai-quang-nam,Mai House Hội An: Dự án khu du lịch nghỉ dưỡng và sân golf tại Quảng Nam,https://cafeland.vn/du-an/mai-house-hoi-an-du-an-khu-du-lich-nghi-duong-va-san-golf-tai-quang-nam-3929.html,Bất Động Sản Nghỉ Dưỡng,"Địa chỉ: đường Lạc Long Quân, TX. Điện Bàn, Quảng Nam",Địa chỉ:
13,tai-quang-nam,Alva: Phân khu tại dự án Indochina Riverside Complex,https://cafeland.vn/du-an/alva-phan-khu-tai-du-an-indochina-riverside-complex-3918.html,Khu Đô Thị,"Địa chỉ: đường Dũng Sĩ Điện Ngọc, TX. Điện Bàn, Quảng Nam","Giá thấp nhất: 2,4 tỷ"
14,tai-quang-nam,Phố chợ Đông Phú: Dự án đất nền tại Quảng Nam,https://cafeland.vn/du-an/pho-cho-dong-phu-du-an-dat-nen-tai-quang-nam-3883.html,Đất Nền Dự Án,"Địa chỉ: đường Trưng Nữ Vương, Quế Sơn, Quảng Nam","Giá thấp nhất: 1,51 tỷ"
15,tai-quang-nam,Coco New Star: Dự án khu đô thị tại tỉnh Quảng Nam,https://cafeland.vn/du-an/coco-new-star-du-an-khu-do-thi-tai-tinh-quang-nam-3861.html,Khu Đô Thị,"Địa chỉ: Thuộc Khu đô thị An Phú và Phú Thịnh, TX. Điện Bàn, Quảng Nam","Giá thấp nhất: 1,53 tỷ"
16,tai-quang-nam,Thạnh Mỹ Central Park: Dự án khu đô thị tại Quảng Nam,https://cafeland.vn/du-an/thanh-my-central-park-du-an-khu-do-thi-tai-quang-nam-3749.html,Đất Nền Dự Án,"Địa chỉ: Quốc lộ 14, thị trấn Thạnh Mỹ, Nam Giang, Quảng Nam",Địa chỉ:
17,tai-quang-nam,Khu đô thị Phố Chợ Điện Nam Trung: Dự án tại tỉnh Quảng Nam,https://cafeland.vn/du-an/khu-do-thi-pho-cho-dien-nam-trung-du-an-tai-tinh-quang-nam-3745.html,Khu Đô Thị,"Địa chỉ: Trung tâm phường Điện Nam Trung, TX. Điện Bàn, Quảng Nam","Giá thấp nhất: 1,53 tỷ"
18,tai-quang-nam,Khu phố chợ Chiên Đàn: Dự án khu đô thị tại tỉnh Quảng Nam,https://cafeland.vn/du-an/khu-pho-cho-chien-dan-du-an-khu-do-thi-tai-tinh-quang-nam-3685.html,Khu Đô Thị,"Địa chỉ: Xã Tam Đàn, huyện Phú Ninh, TP. Tam Kỳ, Quảng Nam","Giá thấp nhất: 1,65 tỷ"
19,tai-quang-nam,Ngũ Đại Kinh Đô: Dự án khu đô thị tại Hội An,https://cafeland.vn/du-an/ngu-dai-kinh-do-du-an-khu-do-thi-tai-hoi-an-3638.html,Khu Đô Thị,"Địa chỉ: TP. Hội An, Quảng Nam",Địa chỉ:
20,tai-quang-nam,Vident Center: Dự án khu dân cư tại Quảng Nam,https://cafeland.vn/du-an/vident-center-du-an-khu-dan-cu-tai-quang-nam-3564.html,Đất Nền Dự Án,"Địa chỉ: đường Phan Thúc Duyện, TX. Điện Bàn, Quảng Nam","Giá thấp nhất: 1,70 tỷ"
21,tai-quang-nam,Coco Aqua Riverside: Dự án khu đô thị tại Quảng Nam,https://cafeland.vn/du-an/coco-aqua-riverside-du-an-khu-do-thi-tai-quang-nam-3549.html,Đất Nền Dự Án,"Địa chỉ: đường Lạc Long Quân, TX. Điện Bàn, Quảng Nam","Giá thấp nhất: 1,40 tỷ"
22,tai-quang-nam,Florence Quảng Nam: dự án tại Quảng Nam,https://cafeland.vn/du-an/florence-quang-nam-du-an-tai-quang-nam-3519.html,Khu Đô Thị,"Địa chỉ: đường Trần Nhân Tông, TX. Điện Bàn, Quảng Nam",Địa chỉ:
23,tai-quang-nam,Sunshine Marina Hội An: Dự án căn hộ tại Quảng Nam,https://cafeland.vn/du-an/sunshine-marina-hoi-an-du-an-can-ho-tai-quang-nam-3509.html,Căn hộ chung cư,"Địa chỉ: đường Lạc Long Quân, TP. Hội An, Quảng Nam",Địa chỉ:
24,tai-quang-nam,The Faifo Complex: Dự án đất nền tại Quảng Nam,https://cafeland.vn/du-an/the-faifo-complex-du-an-dat-nen-tai-quang-nam-3489.html,Đất Nền Dự Án,"Địa chỉ: đường An Dương Vương, TP. Hội An, Quảng Nam","Giá thấp nhất: 1,54 tỷ"
25,tai-quang-nam,Sala Điện Thắng: Dự án khu đô thị tại Quảng Nam,https://cafeland.vn/du-an/sala-dien-thang-du-an-khu-do-thi-tai-quang-nam-3480.html,Khu Đô Thị,"Địa chỉ: Khu dân cư Hồ Biện Trên, TX. Điện Bàn, Quảng Nam",Giá thấp nhất: 648 triệu
26,tai-quang-nam,Khang Thịnh Riverside: Dự án khu dân cư tại Quảng Nam,https://cafeland.vn/du-an/khang-thinh-riverside-du-an-khu-dan-cu-tai-quang-nam-3478.html,Khu Đô Thị,"Địa chỉ: Thị trấn Núi Thành, Núi Thành, Quảng Nam",Địa chỉ:
27,tai-quang-nam,Khu đô thị Regal Heritage Hội An,https://cafeland.vn/du-an/khu-do-thi-regal-heritage-hoi-an-3402.html,Loại Hình Khác,"Địa chỉ: Ven sông cổ cò, TP. Hội An, Quảng Nam",Địa chỉ:
28,tai-quang-nam,Dự án Khu dân cư Tam Ngọc Quảng Nam,https://cafeland.vn/du-an/du-an-khu-dan-cu-tam-ngoc-quang-nam-3388.html,Khu Đô Thị,"Địa chỉ: Đường Trần Cao Vân, TP. Tam Kỳ, Quảng Nam",Địa chỉ:
