,tinh,project,link,kind,location,price
0,tai-quang-ngai,Coastal: Dự án khu đô thị sinh thái tại Quảng Ngãi,https://cafeland.vn/du-an/coastal-du-an-khu-do-thi-sinh-thai-tai-quang-ngai-4291.html,Bất Động Sản Nghỉ Dưỡng,"Địa chỉ: Xã Nghĩa Hòa, huyện Tư Nghĩa, tỉnh Quảng Ngãi, Tư Nghĩa, Quảng Ngãi",Địa chỉ:
1,tai-quang-ngai,Đông Sơn Mỹ: Dự án khu dân cư tại Quảng Ngãi,https://cafeland.vn/du-an/dong-son-my-du-an-khu-dan-cu-tai-quang-ngai-4245.html,Đất Nền Dự Án,"Địa chỉ: thôn Mỹ Lại, TP. Quảng Ngãi, Quảng Ngãi",Địa chỉ:
2,tai-quang-ngai,MyA Marina: Dự án khu dân cư tại Đức Phổ,https://cafeland.vn/du-an/mya-marina-du-an-khu-dan-cu-tai-duc-pho-4201.html,Khu Đô Thị,"Địa chỉ: tổ dân phố Hải Tân, TX. Đức Phổ, Quảng Ngãi",Địa chỉ:
3,tai-quang-ngai,Vạn Tường: Khu tái định cư tại Quảng Ngãi,https://cafeland.vn/du-an/van-tuong-khu-tai-dinh-cu-tai-quang-ngai-4172.html,Đất Nền Dự Án,"Địa chỉ: thôn Vạn Tường, Bình Sơn, Quảng Ngãi",Địa chỉ:
4,tai-quang-ngai,Phố chợ Hàng Rượu: Dự án khu đô thị tại Quảng Ngãi,https://cafeland.vn/du-an/pho-cho-hang-ruou-du-an-khu-do-thi-tai-quang-ngai-4052.html,Đất Nền Dự Án,"Địa chỉ: đường Nguyễn Văn Linh, TP. Quảng Ngãi, Quảng Ngãi",Địa chỉ:
5,tai-quang-ngai,Kè Bắc sông Trà Bồng: Dự án khu dân cư tại Quảng Ngãi,https://cafeland.vn/du-an/ke-bac-song-tra-bong-du-an-khu-dan-cu-tai-quang-ngai-4051.html,Đất Nền Dự Án,"Địa chỉ: đường Trần Công Hiến nối dài, Bình Sơn, Quảng Ngãi",Địa chỉ:
6,tai-quang-ngai,Quảng Ngãi Central Point: Dự án đất nền tại Quảng Ngãi,https://cafeland.vn/du-an/quang-ngai-central-point-du-an-dat-nen-tai-quang-ngai-4048.html,Đất Nền Dự Án,"Địa chỉ: đường Lê Quý Đôn, TP. Quảng Ngãi, Quảng Ngãi",Địa chỉ:
7,tai-quang-ngai,Phố Chợ Tịnh Phong: Dự án khu đô thị tại Quảng Ngãi,https://cafeland.vn/du-an/pho-cho-tinh-phong-du-an-khu-do-thi-tai-quang-ngai-4045.html,Khu Đô Thị,"Địa chỉ: Quốc lộ 1A, Sơn Tịnh, Quảng Ngãi",Giá thấp nhất: 500 triệu
8,tai-quang-ngai,Sơn Tịnh: Dự án khu dân cư tại Quảng Ngãi,https://cafeland.vn/du-an/son-tinh-du-an-khu-dan-cu-tai-quang-ngai-4009.html,Khu Đô Thị,"Địa chỉ: đường Võ Nguyên Giáp, Trương Quang Trọng, TP. Quảng Ngãi, Quảng Ngãi",Giá thấp nhất: 800 triệu
9,tai-quang-ngai,An Điền Phát: Dự án khu dân cư tại Quảng Ngãi,https://cafeland.vn/du-an/an-dien-phat-du-an-khu-dan-cu-tai-quang-ngai-3889.html,Đất Nền Dự Án,"Địa chỉ: đường Đặng Thùy Trâm, Tư Nghĩa, Quảng Ngãi","Giá thấp nhất: 1,40 tỷ"
10,tai-quang-ngai,SunShine City Quảng Ngãi: Dự án khu đô thị tại Mộ Đức,https://cafeland.vn/du-an/sunshine-city-quang-ngai-du-an-khu-do-thi-tai-mo-duc-3812.html,Đất Nền Dự Án,"Địa chỉ: đường DT 624C, Mộ Đức, Quảng Ngãi",Giá thấp nhất: 590 triệu
11,tai-quang-ngai,DongCat Marketplace: Dự án phố chợ tại Quảng Ngãi,https://cafeland.vn/du-an/dongcat-marketplace-du-an-pho-cho-tai-quang-ngai-3811.html,Loại Hình Khác,"Địa chỉ: đường 629, thị trấn Mộ Đức, Mộ Đức, Quảng Ngãi",Giá thấp nhất: 464 triệu
12,tai-quang-ngai,Đông Yên Residences: Dự án khu dân cư tại Quảng Ngãi,https://cafeland.vn/du-an/dong-yen-residences-du-an-khu-dan-cu-tai-quang-ngai-3807.html,Đất Nền Dự Án,"Địa chỉ: Bình Sơn, Quảng Ngãi",Địa chỉ:
13,tai-quang-ngai,Nguyễn Tri Phương: Dự án khu dân cư tại Quảng Ngãi,https://cafeland.vn/du-an/nguyen-tri-phuong-du-an-khu-dan-cu-tai-quang-ngai-3558.html,Đất Nền Dự Án,"Địa chỉ: đường Nguyễn Tri Phương, TP. Quảng Ngãi, Quảng Ngãi","Giá thấp nhất: 1,29 tỷ"
14,tai-quang-ngai,Khu dịch vụ hỗn hợp Vsip Quảng Ngãi: Dự án khu dân cư tại Quảng Ngãi,https://cafeland.vn/du-an/khu-dich-vu-hon-hop-vsip-quang-ngai-du-an-khu-dan-cu-tai-quang-ngai-3530.html,Đất Nền Dự Án,"Địa chỉ: Mặt tiền đường quốc lộ 1A, Sơn Tịnh, Quảng Ngãi","Giá thấp nhất: 1,51 tỷ"
15,tai-quang-ngai,Điền Viên Tịnh Ấn Tây: Dự án khu dân cư tại Quảng Ngãi,https://cafeland.vn/du-an/dien-vien-tinh-an-tay-du-an-khu-dan-cu-tai-quang-ngai-3494.html,Đất Nền Dự Án,"Địa chỉ: Xã Tịnh Ấn Tây, TP. Quảng Ngãi, Quảng Ngãi",Giá thấp nhất: 770 triệu
16,tai-quang-ngai,Ngọc Bảo Viên: Dự án khu đô thị tại Quảng Ngãi,https://cafeland.vn/du-an/ngoc-bao-vien-du-an-khu-do-thi-tai-quang-ngai-3475.html,Khu Đô Thị,"Địa chỉ: Đường Lê Lợi, TP. Quảng Ngãi, Quảng Ngãi",Địa chỉ:
17,tai-quang-ngai,Vsip Quảng Ngãi: Dự án Khu công nghiệp Quảng Ngãi,https://cafeland.vn/du-an/vsip-quang-ngai-du-an-khu-cong-nghiep-quang-ngai-3413.html,Khu công nghiệp,"Địa chỉ: Đường quốc lộ 1A và quốc lộ 24B, phường Trương Quang Trọng, xã Tịnh Phong, TP. Quảng Ngãi, Quảng Ngãi",Địa chỉ:
18,tai-quang-ngai,Khu đô thị mới Nghĩa Hà Quảng Ngãi,https://cafeland.vn/du-an/khu-do-thi-moi-nghia-ha-quang-ngai-3323.html,Đất Nền Dự Án,"Địa chỉ: xã Nghĩa Hà và Nghĩa Dũng, TP. Quảng Ngãi, Quảng Ngãi",Địa chỉ:
19,tai-quang-ngai,Khu dân cư Tây Bàu Giang Quảng Ngãi,https://cafeland.vn/du-an/khu-dan-cu-tay-bau-giang-quang-ngai-3266.html,Đất Nền Dự Án,"Địa chỉ: thị trấn La Hà và xã Nghĩa Trung, Tư Nghĩa, Quảng Ngãi",Giá thấp nhất: 900 triệu
20,tai-quang-ngai,Khu dân cư chợ Quán Lát Quảng Ngãi,https://cafeland.vn/du-an/khu-dan-cu-cho-quan-lat-quang-ngai-3264.html,Đất Nền Dự Án,"Địa chỉ: Mộ Đức, Quảng Ngãi",Địa chỉ:
21,tai-quang-ngai,Khu dân cư Đức Phổ Gateway Quảng Ngãi,https://cafeland.vn/du-an/khu-dan-cu-duc-pho-gateway-quang-ngai-3140.html,Khu Đô Thị,"Địa chỉ: TX. Đức Phổ, Quảng Ngãi",Giá thấp nhất: 1 tỷ
22,tai-quang-ngai,Phố thương mại Shiamond City Quảng Ngãi,https://cafeland.vn/du-an/pho-thuong-mai-shiamond-city-quang-ngai-3009.html,Khu Đô Thị,"Địa chỉ: DT624, Nghĩa Hành, Quảng Ngãi",Giá thấp nhất: 488 triệu
23,tai-quang-ngai,Khu dân cư DB Complex Quảng Ngãi,https://cafeland.vn/du-an/khu-dan-cu-db-complex-quang-ngai-2930.html,Khu Đô Thị,"Địa chỉ: Quốc lộ 1A, Bình Sơn, Quảng Ngãi",Địa chỉ:
24,tai-quang-ngai,Khu đô thị Maris City Quảng Ngãi,https://cafeland.vn/du-an/khu-do-thi-maris-city-quang-ngai-2839.html,Đất Nền Dự Án,"Địa chỉ: Giao lộ Quang Trung – Trường Chinh, TP. Quảng Ngãi, Quảng Ngãi",Địa chỉ:
