,tinh,project,link,kind,location,price
0,tai-quang-ninh,Crystal Holidays Harbour Van Don: Dự án khu nghỉ dưỡng tại Quảng Ninh,https://cafeland.vn/du-an/crystal-holidays-harbour-van-don-du-an-khu-nghi-duong-tai-quang-ninh-4332.html,Bất Động Sản Nghỉ Dưỡng,"Địa chỉ: Lô M1, Khu đô thị Du lịch và Bến cảng cao cấp Ao Tiên, Vân Đồn, Quảng Ninh",Địa chỉ:
1,tai-quang-ninh,Lagoon Residences: Dự án phân khu biệt thự cao cấp trong tổ hợp Grand Bay tại Hạ Long,https://cafeland.vn/du-an/lagoon-residences-du-an-phan-khu-biet-thu-cao-cap-trong-to-hop-grand-bay-tai-ha-long-4302.html,Bất Động Sản Nghỉ Dưỡng,"Địa chỉ: đường đại lộ Marina Hạ Long, TP. Hạ Long, Quảng Ninh",Địa chỉ:
2,tai-quang-ninh,SafaBay: Dự án khu đô thị nghỉ dưỡng tại Cẩm Phả,https://cafeland.vn/du-an/safabay-du-an-khu-do-thi-nghi-duong-tai-cam-pha-4249.html,Khu Đô Thị,"Địa chỉ: đường bao biển Hạ Long -  Cẩm Phả, TP. Cẩm Phả, Quảng Ninh",Địa chỉ:
3,tai-quang-ninh,Núi Hạm: Dự án khu đô thị mới tại Hạ Long,https://cafeland.vn/du-an/nui-ham-du-an-khu-do-thi-moi-tai-ha-long-4183.html,Khu Đô Thị,"Địa chỉ: phường Hồng Hà và phường Hà Tu, TP. Hạ Long, Quảng Ninh",Địa chỉ:
4,tai-quang-ninh,Ruby City Hạ Long: Dự án khu đô thị tại Quảng Ninh,https://cafeland.vn/du-an/ruby-city-ha-long-du-an-khu-do-thi-tai-quang-ninh-4148.html,Đất Nền Dự Án,"Địa chỉ: đường Trần Phú, TP. Hạ Long, Quảng Ninh",Giá thấp nhất: 790 triệu
5,tai-quang-ninh,Ban Mai Villas: Dự án biệt thự tại Hạ Long,https://cafeland.vn/du-an/ban-mai-villas-du-an-biet-thu-tai-ha-long-4131.html,Đất Nền Dự Án,"Địa chỉ: đường Hải Quân, TP. Hạ Long, Quảng Ninh",Địa chỉ:
6,tai-quang-ninh,TNR Grand Palace River Park: Dự án Khu đô thị tại Quảng Ninh,https://cafeland.vn/du-an/tnr-grand-palace-river-park-du-an-khu-do-thi-tai-quang-ninh-4109.html,Khu Đô Thị,"Địa chỉ: Quốc Lộ 18, TP. Uông Bí, Quảng Ninh","Giá thấp nhất: 2,9 tỷ"
7,tai-quang-ninh,Felicity Uông Bí: Dự án khu đô thị tại Quảng Ninh,https://cafeland.vn/du-an/felicity-uong-bi-du-an-khu-do-thi-tai-quang-ninh-4108.html,Khu Đô Thị,"Địa chỉ: Quốc lộ 18, TP. Uông Bí, Quảng Ninh",Địa chỉ:
8,tai-quang-ninh,Grand Bay Halong Villas: Dự án khu dinh thự tại Hạ Long,https://cafeland.vn/du-an/grand-bay-halong-villas-du-an-khu-dinh-thu-tai-ha-long-4088.html,Nhà Phố - Biệt Thự,"Địa chỉ: Khu đô thị du lịch Halong Marina, TP. Hạ Long, Quảng Ninh","Giá thấp nhất: 35,51 tỷ"
9,tai-quang-ninh,Ao Tiên Vân Đồn: Dự án khu đô thị du lịch và bến cảng tại Quảng Ninh,https://cafeland.vn/du-an/ao-tien-van-don-du-an-khu-do-thi-du-lich-va-ben-cang-tai-quang-ninh-3997.html,Bất Động Sản Nghỉ Dưỡng,"Địa chỉ: Vân Đồn, Quảng Ninh",Địa chỉ:
