,tinh,project,link,kind,location,price
0,tai-thanh-hoa,The Pathway: Tổ hợp căn hộ sát biển tại TP.Sầm Sơn,https://cafeland.vn/du-an/the-pathway-to-hop-can-ho-sat-bien-tai-tpsam-son-4334.html,Căn hộ chung cư,"Địa chỉ: đường Hồ Xuân Hương, TP. Sầm Sơn, Thanh Hóa",Địa chỉ:
1,tai-thanh-hoa,Bình An Plaza: Dự án căn hộ chung cư sắp mở bán tại Thanh Hóa,https://cafeland.vn/du-an/binh-an-plaza-du-an-can-ho-chung-cu-sap-mo-ban-tai-thanh-hoa-4313.html,Căn hộ chung cư,"Địa chỉ: đường Đỗ Đại, TP. Thanh Hóa, Thanh Hóa",Địa chỉ:
2,tai-thanh-hoa,Central Riverside: Dự án khu đô thị Nam sông Mã tại Thanh Hóa,https://cafeland.vn/du-an/central-riverside-du-an-khu-do-thi-nam-song-ma-tai-thanh-hoa-4280.html,Khu Đô Thị,"Địa chỉ: Phía Nam sông Mã, TP. Thanh Hóa, Thanh Hóa",Địa chỉ:
3,tai-thanh-hoa,3739 Đông Ninh - Đông Khê: Dự án đất nền đô thị tại Thanh Hóa,https://cafeland.vn/du-an/3739-dong-ninh-dong-khe-du-an-dat-nen-do-thi-tai-thanh-hoa-4271.html,Đất Nền Dự Án,"Địa chỉ: Quốc lộ 47, xã Đông Ninh và Đông Khê, Đông Sơn, Thanh Hóa",Địa chỉ:
4,tai-thanh-hoa,"Flamingo Hải Tiến: Tổ hợp nghỉ dưỡng, căn hộ cao cấp tại Thanh Hóa",https://cafeland.vn/du-an/flamingo-hai-tien-to-hop-nghi-duong-can-ho-cao-cap-tai-thanh-hoa-4254.html,Bất Động Sản Nghỉ Dưỡng,"Địa chỉ: Hoằng Hóa, Thanh Hóa",Địa chỉ:
5,tai-thanh-hoa,Ruby Tower: Dự án chung cư tại Thanh Hóa,https://cafeland.vn/du-an/ruby-tower-du-an-chung-cu-tai-thanh-hoa-4230.html,Căn hộ chung cư,"Địa chỉ: Khu đô thị Xanh, Nam Trung Tâm,  phường Lam Sơn, Đông Vệ, thành phố Thanh Hoá, TP. Thanh Hóa, Thanh Hóa",Địa chỉ:
6,tai-thanh-hoa,Tân Phong New City: Dự án đất nền tại Thanh Hóa,https://cafeland.vn/du-an/tan-phong-new-city-du-an-dat-nen-tai-thanh-hoa-4210.html,Đất Nền Dự Án,"Địa chỉ: Quốc lộ 1A, Quảng Xương, Thanh Hóa",Địa chỉ:
7,tai-thanh-hoa,VNC Ocean Garden City: Dự án khu đô thị tại Thanh Hóa,https://cafeland.vn/du-an/vnc-ocean-garden-city-du-an-khu-do-thi-tai-thanh-hoa-4185.html,Khu Đô Thị,"Địa chỉ: đường Ngô Châu Lưu và Lương Văn Yên, xã Hải Hòa, Thanh Hóa",Địa chỉ:
8,tai-thanh-hoa,4132 Đông Sơn: Dự án khu đô thị tại Thanh Hóa,https://cafeland.vn/du-an/4132-dong-son-du-an-khu-do-thi-tai-thanh-hoa-4182.html,Đất Nền Dự Án,"Địa chỉ: đường Lê Hy, Đông Sơn, Thanh Hóa",Giá thấp nhất: 950 triệu
9,tai-thanh-hoa,3164 Đông Khê: Dự án khu đô thị tại Thanh Hóa,https://cafeland.vn/du-an/3164-dong-khe-du-an-khu-do-thi-tai-thanh-hoa-4181.html,Đất Nền Dự Án,"Địa chỉ: Quốc lộ 47, thôn 4 và thôn 5, Đông Sơn, Thanh Hóa",Giá thấp nhất: 455 triệu
