,tinh,project,link,kind,location,price
0,tai-thua-thien-hue,BGI Diamond Bay: Dự án Khu đô thị tại TP.Huế,https://cafeland.vn/du-an/bgi-diamond-bay-du-an-khu-do-thi-tai-tphue-4330.html,Khu Đô Thị,"Địa chỉ: thuộc khu E, Khu đô thị mới An Vân Dương, TP. Huế, Thừa Thiên Huế",Địa chỉ:
1,tai-thua-thien-hue,West Sky: Dự án khu căn hộ tại Huế,https://cafeland.vn/du-an/west-sky-du-an-khu-can-ho-tai-hue-4294.html,Căn hộ chung cư,"Địa chỉ: Khu đô thị Eco Garden, TP. Huế, Thừa Thiên Huế",Địa chỉ:
2,tai-thua-thien-hue,Lăng Cô: Dự án phố chợ tại Thừa Thiên Huế,https://cafeland.vn/du-an/lang-co-du-an-pho-cho-tai-thua-thien-hue-4273.html,Loại Hình Khác,"Địa chỉ: Đường Nguyễn Văn, đầm Lập An, Phú Lộc, Thừa Thiên Huế",Địa chỉ:
3,tai-thua-thien-hue,Lộc Bình: Dự án khu du lịch nghỉ dưỡng tại Thừa Thiên Huế,https://cafeland.vn/du-an/loc-binh-du-an-khu-du-lich-nghi-duong-tai-thua-thien-hue-4098.html,Bất Động Sản Nghỉ Dưỡng,"Địa chỉ: Phú Lộc, Thừa Thiên Huế",Địa chỉ:
4,tai-thua-thien-hue,Gilimex: Dự án khu công nghiệp tại Huế,https://cafeland.vn/du-an/gilimex-du-an-khu-cong-nghiep-tai-hue-3999.html,Khu công nghiệp,"Địa chỉ: Quốc lộ 1A, TX. Hương Thủy, Thừa Thiên Huế",Địa chỉ:
5,tai-thua-thien-hue,Regal Mall Hue: Dự án trung tâm thương mại tại Thừa Thiên Huế,https://cafeland.vn/du-an/regal-mall-hue-du-an-trung-tam-thuong-mai-tai-thua-thien-hue-3860.html,Loại Hình Khác,"Địa chỉ: Đường Hoàng Trung, TX. Hương Trà, Thừa Thiên Huế",Địa chỉ:
6,tai-thua-thien-hue,The First Minh Linh Compound: Dự án chung cư tại Huế,https://cafeland.vn/du-an/the-first-minh-linh-compound-du-an-chung-cu-tai-hue-3592.html,Căn hộ chung cư,"Địa chỉ: đường Tự Đức (Quốc lộ 49), TX. Hương Thủy, Thừa Thiên Huế","Giá thấp nhất: 1,20 tỷ"
7,tai-thua-thien-hue,Apec Imperia Boulevard: Dự án khu đô thị tại thành phố Huế ,https://cafeland.vn/du-an/apec-imperia-boulevard-du-an-khu-do-thi-tai-thanh-pho-hue-3565.html,Khu Đô Thị,"Địa chỉ: Xã Thuỷ Vân, thị xã Hương Thủy, TP. Huế, Thừa Thiên Huế","Giá thấp nhất: 2,61 tỷ"
8,tai-thua-thien-hue,Minh Mạng Residence: Dự án khu đô thị tại Thừa Thiên Huế,https://cafeland.vn/du-an/minh-mang-residence-du-an-khu-do-thi-tai-thua-thien-hue-3512.html,Nhà Phố - Biệt Thự,"Địa chỉ: Số 11 đường Minh Mạng, TP. Huế, Thừa Thiên Huế","Giá thấp nhất: 1,70 tỷ"
9,tai-thua-thien-hue,Phú Xuân City: Tổ hợp nhà phố - biệt thự - chung cư tại Huế,https://cafeland.vn/du-an/phu-xuan-city-to-hop-nha-pho-biet-thu-chung-cu-tai-hue-3441.html,Khu Đô Thị,"Địa chỉ: Khu A – Đô thị mới An Vân Dương, TP. Huế, Thừa Thiên Huế","Giá thấp nhất: 8,50 tỷ"
10,tai-thua-thien-hue,Eco Garden: Khu đô thị tại Huế,https://cafeland.vn/du-an/eco-garden-khu-do-thi-tai-hue-3426.html,Khu Đô Thị,"Địa chỉ: đường Võ Nguyên Giáp, TP. Huế, Thừa Thiên Huế","Giá thấp nhất: 2,78 tỷ"
11,tai-thua-thien-hue,Dự án BGI Topaz Downtown – Zone A Huế,https://cafeland.vn/du-an/du-an-bgi-topaz-downtown-zone-a-hue-3287.html,Khu Đô Thị,"Địa chỉ: đường Hoàng Quốc Việt nối dài, TX. Hương Thủy, Thừa Thiên Huế","Giá thấp nhất: 4,45 tỷ"
12,tai-thua-thien-hue,Căn hộ Nera Garden Huế,https://cafeland.vn/du-an/can-ho-nera-garden-hue-3146.html,Căn hộ chung cư,"Địa chỉ: Lô C, Khu đô thị Phú Mỹ An, đường Tố Hữu, TP. Huế, Thừa Thiên Huế","Giá thấp nhất: 1,62 tỷ"
13,tai-thua-thien-hue,Căn hộ Phú Mỹ An Tower Huế,https://cafeland.vn/du-an/can-ho-phu-my-an-tower-hue-2862.html,Căn hộ chung cư,"Địa chỉ: Đường Tố Hữu, TP. Huế, Thừa Thiên Huế","Giá thấp nhất: 1,28 tỷ"
14,tai-thua-thien-hue,Căn hộ De 1st Quantum Thừa Thiên Huế,https://cafeland.vn/du-an/can-ho-de-1st-quantum-thua-thien-hue-2582.html,Căn hộ chung cư,"Địa chỉ: Quốc lộ 49, TX. Hương Thủy, Thừa Thiên Huế","Giá thấp nhất: 1,13 tỷ"
15,tai-thua-thien-hue,Căn hộ khách sạn Apec Mandala Wyndham Huế,https://cafeland.vn/du-an/can-ho-khach-san-apec-mandala-wyndham-hue-2383.html,Căn hộ chung cư,"Địa chỉ: TX. Hương Thủy, Thừa Thiên Huế",Giá thấp nhất: 608 triệu
16,tai-thua-thien-hue,Khu nghỉ dưỡng 6 Miles Coast Resort Lăng Cô,https://cafeland.vn/du-an/khu-nghi-duong-6-miles-coast-resort-lang-co-2200.html,Bất Động Sản Nghỉ Dưỡng,"Địa chỉ: Phú Lộc, Thừa Thiên Huế",Địa chỉ:
17,tai-thua-thien-hue,Dự án Bạch Mã Hill Spring Resort,https://cafeland.vn/du-an/du-an-bach-ma-hill-spring-resort-2193.html,Bất Động Sản Nghỉ Dưỡng,"Địa chỉ: Khu Chân Mây – Lăng Cô, Phú Lộc, Thừa Thiên Huế",Địa chỉ:
18,tai-thua-thien-hue,Khu nghỉ dưỡng Laguna Lăng Cô,https://cafeland.vn/du-an/khu-nghi-duong-laguna-lang-co-2093.html,Bất Động Sản Nghỉ Dưỡng,"Địa chỉ: thôn Cù Dù, Phú Lộc, Thừa Thiên Huế",Địa chỉ:
19,tai-thua-thien-hue,Khu biệt thự đồi Banyan Tree Residences Thừa Thiên Huế,https://cafeland.vn/du-an/khu-biet-thu-doi-banyan-tree-residences-thua-thien-hue-2095.html,Bất Động Sản Nghỉ Dưỡng,"Địa chỉ: đường Chân Mây, Phú Lộc, Thừa Thiên Huế",Giá thấp nhất: 30 tỷ
20,tai-thua-thien-hue,Dự án The Manor Crown Tower Huế,https://cafeland.vn/du-an/du-an-the-manor-crown-tower-hue-1961.html,Căn hộ chung cư,"Địa chỉ: đường Tố Hữu, TP. Huế, Thừa Thiên Huế","Giá thấp nhất: 1,25 tỷ"
21,tai-thua-thien-hue,Biệt thự và khách sạn Movenpick Resort Lăng Cô,https://cafeland.vn/du-an/biet-thu-va-khach-san-movenpick-resort-lang-co-1785.html,Nhà Phố - Biệt Thự,"Địa chỉ: Phú Lộc, Thừa Thiên Huế","Giá thấp nhất: 10,22 tỷ"
22,tai-thua-thien-hue,Khu đô thị Mỹ Thượng,https://cafeland.vn/du-an/khu-do-thi-my-thuong-983.html,Khu Đô Thị,"Địa chỉ: Tỉnh lộ 10A, Phú Vang, Thừa Thiên Huế",Địa chỉ:
23,tai-thua-thien-hue,Khu đô thị An Cựu City: Nơi cuộc sống bắt đầu,https://cafeland.vn/du-an/khu-do-thi-an-cuu-city-noi-cuoc-song-bat-dau-433.html,Nhà Phố - Biệt Thự,"Địa chỉ: An Cựu, TP. Huế, Thừa Thiên Huế",Địa chỉ:
