STT,Tên huyện đảo,"Diện tích
(km²)","Dân số
(người)",Tỉnh,Chú thích
01,Cô Tô,"47,30","5.840
(2018)",Quảng Ninh,"Là một quần đảo với trên 50 hòn đảo lớn nhỏ. Thị trấn Cô Tô (huyện lỵ) nằm ở phía nam đảo Cô Tô, cách Tp Hạ Long trên 70km đường chim bay."
02,Vân Đồn,"551,30","52.940
(2018)",Quảng Ninh,"Là một quần đảo với khoảng 600 hòn đảo lớn nhỏ. Thị trấn Cái Rồng (huyện lỵ) nằm ở phía tây nam đảo Cái Bầu, cách Tp Hạ Long gần 40 km đường chim bay."
03,Bạch Long Vĩ,"1,80","907
(2009)",Hải Phòng,"Đảo có chiều dài khoảng 3km, chiều rộng khoảng 1,5km, diện tích khoảng 1,8km² khi thủy triều lên mức cao nhất và khoảng 3,05km² khi thủy triều xuống mức thấp nhất. Cách đảo Hòn Dáu (Q. Đồ Sơn, Hải Phòng) 110km và đảo Hạ Mai (H. Vân Đồn, Quảng Ninh) 70km theo đường chim bay."
04,Cát Hải,"345,31","43.187
(2018)",Hải Phòng,"Bao gồm 367 hòn đảo lớn nhỏ thuộc Quần đảo Cát Bà và đảo Cát Hải hợp thành huyện đảo. Thị trấn Cát Bà (huyện lỵ) nằm ở phía nam đảo Cát Bà, cách trung tâm Tp Hải Phòng 40 km theo đường chim bay."
05,Cồn Cỏ,"2,30","500
(2016)",Quảng Trị,Là một hòn đảo cách Mũi Lay của bờ biển tỉnh Quảng Trị 27km về hướng đông. Trung tâm hành chính của huyện đảo nằm ở phía nam đảo.
06,Hoàng Sa,"305.00","0",Đà Nẵng,"Là một quần đảo san hô, nằm cách bờ biển Việt Nam 315km (170 hải lý). Hiện đang là khu vực tranh chấp giữa VN và Trung Quốc nên không có cư dân người Việt."
07,Lý Sơn,"9,97","23.000
(2019)",Quảng Ngãi,"Là một nhóm đảo gồm 3 hòn đảo có tên Cù Lao Ré, Cù Lao Bãi Lớn và hòn Mù Cu. Trung tâm hành chính huyện đảo nằm ở phía nam đảo Cù lao Ré, cách bờ biển xã Bình Hải (H. Bình Sơn, Quảng Ngãi) 25 km."
08,Trường Sa,"496","195
(2009)",Khánh Hòa,"Là một quần đảo san hô, cách bờ biển Cam Ranh khoảng 446,50km (248 hải lý) về hướng đông nam. Hiện nay chỉ có một số đảo có người Việt cư ngụ, số đảo còn lại đang có sự tranh chấp với các nước trong khu vực."
09,Phú Quý,"17,40","30.971
(2018)",Bình Thuận,"Là một nhóm đảo gồm 11 đảo, trong đó đảo Cù lao Thu là đảo lớn nhất (dân cư hầu hết cư ngụ ở đảo này) và 10 hòn đảo lớn nhỏ ở chung quanh. Trung tâm hành chính huyện đảo nằm ở phía tây nam đảo Cù lao Thu, cách Tp Phan Thiết 110 km về phía đông."
10,Côn Đảo,"76,00","8.360
(2019)",Bà Rịa – Vũng Tàu,"Là một quần đảo gồm 16 hòn đảo lớn nhỏ, cách bờ biển Vũng Tàu 175km (97 hải lý). Trung tâm hành chính huyện đảo nằm ở phía đông đảo Côn Sơn (đảo lớn nhất trong quần đảo)."
11,Kiên Hải,"30,00","25.000",Kiên Giang,"Là một nhóm đảo gồm các đảo Hòn Tre, Hòn Rái và một quần đảo nhỏ Nam Du. Thị trấn Kiên Hải nằm trên đảo Hòn Tre là điểm gần Rạch Giá nhất với khoảng cách 30km và xa nhất là quần đảo Nam Du cách Rạch Giá 117km. Quần đảo này gồm có 21 hòn đảo lớn nhỏ và được chia thành 2 xã Nam Du và An Sơn."
12,Phú Quốc,"0","0",Kiên Giang,-
